source,sitecode,datetime,TN_mgl,NO3_mgl
USGS,0110588332,2019-09-17T13:15:00Z,NA,0.999
USGS,0110588332,2021-03-22T20:30:00Z,NA,1.1
USGS,0110588332,2021-09-15T18:15:00Z,NA,0.9
USGS,0110588332,2021-11-04T16:00:00Z,0.51,0.169
USGS,0110588332,2021-12-06T17:45:00Z,1.7,1.39
USGS,0110588332,2022-01-21T17:00:00Z,1.6,1.32
USGS,0110588332,2022-02-15T16:45:00Z,0.92,0.565
USGS,0110588332,2022-03-15T15:30:00Z,1.6,0.973
USGS,0110588332,2022-04-13T17:15:00Z,2.1,0.939
USGS,0110588332,2022-05-16T15:00:00Z,1.2,0.864
USGS,0110588332,2022-06-15T16:00:00Z,1.2,0.809
USGS,0110588332,2022-07-19T15:30:00Z,1.2,0.898
USGS,0110588332,2022-08-16T16:30:00Z,0.99,0.778
USGS,0110588332,2022-09-15T16:30:00Z,1.2,0.956
USGS,0110588332,2022-10-19T16:45:00Z,0.89,0.491
USGS,0110588332,2022-11-14T17:45:00Z,0.7,0.232
USGS,0110588332,2022-12-09T16:00:00Z,1.3,0.762
USGS,0110588332,2023-01-01T15:45:00Z,1,0.803
USGS,0110588332,2023-02-13T15:15:00Z,0.52,0.079
USGS,0110588332,2023-03-03T16:15:00Z,1.6,1.25
USGS,0110588332,2023-04-19T14:00:00Z,1.9,1.11
USGS,0110588332,2023-05-23T14:45:00Z,0.76,0.57
USGS,0110588332,2023-06-14T15:45:00Z,1.2,0.983
USGS,0110588332,2023-07-17T16:30:00Z,1.1,0.749
USGS,0110588332,2023-08-10T14:45:00Z,0.94,0.649
USGS,0110588332,2023-09-09T14:15:00Z,0.93,0.76
USGS,0110588332,2023-10-23T15:00:00Z,0.89,0.063
USGS,0110588332,2023-11-07T14:45:00Z,1.7,1.01
USGS,0110588332,2023-12-05T15:30:00Z,1.5,1.1
USGS,0110588332,2024-01-08T16:45:00Z,NA,0.93
USGS,0110588332,2024-02-05T15:15:00Z,NA,0.4
