method,RMSE,MAE
Q_m3d_D8gweblidbk5,1340.185627994524,1340.185627994524
Q_m3d_D8gweblidbk1,1766.9416863449692,1766.9416863449692
Q_m3d_D8gwebrlidbrk5,1966.3661156741957,1966.3661156741957
Q_m3d_D8gwebcrlidbcrk5,2076.2239869952086,2076.2239869952086
Q_m3d_D8gwebcr,2235.4190939425052,2235.4190939425052
Q_m3d_D8gwebrlidbrk1,2321.4078439425048,2321.4078439425048
Q_m3d_D8gwebcrlidbcrk1,2502.7330142026008,2502.7330142026008
Q_m3d_D8gweblidbk1lid0,2602.5135181382616,2602.5135181382616
Q_m3d_D8gwebc,2604.3759659479806,2604.3759659479806
Q_m3d_D8gweb,2608.5563364134155,2608.5563364134155
Q_m3d_D8gwelidr0,2758.2468908282,2758.2468908282
Q_m3d_D8gwelid0,2863.8341127652293,2863.8341127652293
Q_m3d_D8gweblidbk5lid0,3129.063906570842,3129.063906570842
Q_m3d_D8gwebr,3139.548139117043,3139.548139117043
Q_m3d_D8gwelidr1,3199.255825633128,3199.255825633128
Q_m3d_D8gwelid1,3217.945296885695,3217.945296885695
Q_m3d_D8gwebclidbck1,3241.7485232717313,3241.7485232717313
Q_m3d_D8gweblidbk1lid1,3784.3262885010267,3784.3262885010267
Q_m3d_D8gweblidbk5lid1,3939.7937457221083,3939.7937457221083
Q_m3d_D8lidb,5767.620994182067,5767.620994182067
Q_m3d_D8lidbc,5917.712156913073,5917.712156913073
Q_m3d_D8lidbcr,5917.712156913073,5917.712156913073
Q_m3d_D8lidbr,5966.288415468857,5966.288415468857
