method,RMSE,MAE,r.squared
Q_m3d_D8gweblidbk1,6295.979013076745,3662.557628474193,0.940486866472689
Q_m3d_D8gwelid0,6360.472897181907,3705.704263609432,0.9274048407843716
Q_m3d_D8gwelidr0,6476.924770931267,3709.858366617222,0.9255150203740907
Q_m3d_D8gweb,6511.968167684581,3803.194745564202,0.9256040800189914
Q_m3d_D8gwebclidbck1,6092.088914320513,3856.6817107131,0.9362452639268896
Q_m3d_D8gwebc,6186.401019460298,3888.0123882125363,0.9228736425448474
Q_m3d_D8gwelidlt1m,6168.5483736648175,4103.1267866781955,0.9267587970297453
Q_m3d_D8gwelid1,6259.909183252308,4122.517298234718,0.9135989477102164
Q_m3d_D8gweblidbk5,6741.583357666004,4263.610298392983,0.9301430760330637
Q_m3d_D8gweblidbk1lid1,6949.809995736633,4348.373612760005,0.8990688929680573
Q_m3d_D8gwelidr1,7219.701696715701,4350.039074300056,0.8904449697613283
Q_m3d_D8gweblidbk1lid0,9876.40781783473,4516.033182518831,0.775597236890616
Q_m3d_D8gwebrlidbrk1,8090.804988274153,4519.441458246356,0.883569816309726
Q_m3d_D8gwebrlidbrk5,7714.239073609341,4806.688523096703,0.8980660227704625
Q_m3d_D8gwebcrlidbcrk1,9279.064004161695,5005.72436771598,0.8382734957592721
Q_m3d_D8gwebr,8927.20546889183,5012.917566484493,0.8481108768828662
Q_m3d_D8gwebcr,9130.74853228098,5120.718381701892,0.835704526108801
Q_m3d_D8gwelidlt0m,9284.610934372671,5248.011166864406,0.8416209077707852
Q_m3d_D8gwebflt1m,8807.210798647393,5329.633484363665,0.855597967303002
Q_m3d_MFDgwebf,9679.824449567064,5415.773749747534,0.8579108761014317
Q_m3d_D8gwebcrlidbcrk5,8863.770662102575,5420.935643969739,0.8679186140845728
Q_m3d_D8gwebf,8875.603759099036,5421.507403709581,0.8526745408279292
Q_m3d_D8gweblidbk5lid1,8879.120013996273,5425.771252778902,0.8511237077099546
Q_m3d_D8gweblidbk5lid0,11111.66608954145,5500.331820668783,0.7336606718178912
Q_m3d_Dinfgwebf,9460.669085391623,5802.097962934466,0.848956098988993
Q_m3d_D8lidb,13811.927679454944,7280.175538011998,0.7396660468510755
Q_m3d_D8lidbc,13815.647276862006,7318.309334745232,0.7636331757570287
Q_m3d_D8lidbcr,13815.647276862006,7318.309334745232,0.7636331757570287
Q_m3d_D8lidbr,14071.853001124135,7537.849039307863,0.7201298300919551
Q_m3d_D8gwef,18909.38469208804,9487.452702332377,0.4374800354379246
