method,r.squared_TRUE,r.squared_FALSE,RMSE_TRUE,RMSE_FALSE,MAE_TRUE,MAE_FALSE,b1_TRUE,b1_FALSE,b0_TRUE,b0_FALSE
Q_m3d_D8gweblidbk5,0.9361625818307803,0.9305270096482209,1933.7066094563506,7388.558972113102,1340.185627994524,4904.360911083057,1.0449402271368922,0.8720927795758263,-286.06914917992617,-1046.6990608853007
Q_m3d_D8gweblidbk1,0.9001436905732235,0.9420892208941513,2587.0854317560793,6845.470583048465,1766.9416863449692,4078.035095242242,1.119258467973281,0.8501201744798181,-40.536343758784824,415.1177270640937
Q_m3d_D8gwebrlidbrk1,0.879361438188664,0.8854835860705375,3473.2745703553583,8784.343152270825,2321.4078439425048,5001.202250422542,1.3453337587897167,0.8365628912601614,-362.4857244819741,611.7560527806435
Q_m3d_D8gweblidbk1lid0,0.7937986072009204,0.7708620524728136,3586.5573550577,10775.130609521946,2602.5135181382616,4935.434752794025,0.8748195538024431,0.9392116584810994,431.5486026493163,-180.82481717921837
Q_m3d_D8gwebcr,0.7832805787609783,0.8351895864974617,3802.551288687965,9923.426191612785,2235.4190939425052,5753.112746142307,1.073683013619686,0.8390838789375252,1005.214204395751,1095.2579639425512
Q_m3d_D8gweb,0.7738398366705402,0.9297373895718356,4076.2968627664845,6932.40433522365,2608.5563364134155,4065.033300994511,1.098509585682944,0.8606705922733385,1385.2426353033234,949.2746518224068
Q_m3d_D8gwebrlidbrk5,0.762011812081804,0.9039625450983775,4073.9178227970924,8301.506065964437,1966.3661156741957,5429.2249411619105,1.2935190919407757,0.8639579071264462,-727.9977848954995,-908.7765550132016
Q_m3d_D8gwebc,0.7382385682580304,0.9283714142132106,5054.5727143430695,6407.817719748601,2604.3759659479806,4169.357357476,0.670624679723849,0.9095783479402382,1647.3761388080811,290.40835891424376
Q_m3d_D8gwebcrlidbcrk1,0.7293891831220007,0.8400085677455809,4187.413475534774,10056.307675547327,2502.7330142026008,5554.3252123216525,1.1113785824604419,0.8305917568932776,730.6245974369331,523.1057759382288
Q_m3d_D8gwebcrlidbcrk5,0.7287137735781701,0.8734960226259058,4229.43939402495,9584.663677207,2076.2239869952086,6154.02313042991,1.2701795764351103,0.8435420174406362,-795.7189969112796,-1056.6376896190893
Q_m3d_D8gwelid1,0.7263525949263184,0.9230216253274447,5734.332359391658,6369.312261234262,3217.945296885695,4320.779654694777,0.6259866013035656,1.0042925986019442,1402.4034329817887,-1641.845255298153
Q_m3d_D8gwelidr1,0.725991100318289,0.8968396622310398,5718.7924234306,7508.6898077833575,3199.255825633128,4602.265539761301,0.6262615951970602,0.938512547097911,1431.7800387632851,-899.2927827168154
Q_m3d_D8gwelidr0,0.7111058657418444,0.9319170785545906,5417.733819401364,6686.696989200341,2758.2468908282,3918.4307448723507,0.6456319938112053,0.8877657395292986,1740.1106858379844,-159.825863846587
Q_m3d_D8gwelid0,0.7019825987293239,0.9343109368583364,5511.850635908507,6531.757843517661,2863.8341127652293,3890.2237487259695,0.6416293399688945,0.893174930316384,1682.6077443764598,-219.2367228690239
Q_m3d_D8gwebr,0.6990206031518841,0.8527145653535428,5128.182143489703,9560.250714966574,3139.548139117043,5423.519084811606,1.3490488389155235,0.8317822537910595,1199.5674743892905,1362.0554274726098
Q_m3d_D8gwebclidbck1,0.6198996027988418,0.9487947964327833,6790.86540383307,5927.937184620887,3241.7485232717313,3991.4615874125784,0.5540507745461173,0.8978836836946236,2162.971974540461,-335.3170560941206
Q_m3d_D8gweblidbk1lid1,0.6197058770392838,0.9157492652691869,7604.320084034777,6797.941374417798,3784.3262885010267,4472.000423556494,0.5154861258181148,0.9697990385056131,1953.3477149588052,-1549.1439854904531
Q_m3d_D8gweblidbk5lid0,0.5759491334548542,0.7328973865444104,5125.902434285939,12032.122508389566,3129.063906570842,6020.061774443674,0.7993908699459793,0.8759482705157615,1158.380216220472,-329.88665968457
Q_m3d_D8gweblidbk5lid1,0.4183515229732567,0.870547137564764,8616.255540307819,8935.701040537742,3939.7937457221083,5751.464952955734,0.4387397100534603,0.9018800238452986,2962.2306751770143,-1605.8745887429216
Q_m3d_D8lidbr,0.2434207602860195,0.7392592697006063,11477.021236369606,14579.00766556765,5966.288415468857,7882.300682889014,0.28902619618430697,0.7112723205029876,3925.3644098290706,528.2399026325451
Q_m3d_D8lidb,0.23788218192119875,0.7592380487954583,11155.867261043875,14328.445615525114,5767.620994182067,7611.694342139106,0.29536446875054806,0.7215299727092744,3928.618360459504,-147.75396548655496
Q_m3d_D8lidbc,0.23531189070107456,0.7835680049711922,11169.9202864551,14330.417813651544,5917.712156913073,7625.289538105706,0.29481175657051806,0.7080165427643333,3889.827824779065,-21.562250396815
Q_m3d_D8lidbcr,0.23531189070107456,0.7835680049711922,11169.9202864551,14330.417813651544,5917.712156913073,7625.289538105706,0.29481175657051806,0.7080165427643333,3889.827824779065,-21.562250396815
Q_m3d_D8gwelidlt1m,NA,0.9267587970297453,NA,6168.5483736648175,NA,4103.1267866781955,NA,1.0039926030159034,NA,-1408.0416274431511
Q_m3d_MFDgwebf,NA,0.8579108761014317,NA,9679.824449567064,NA,5415.773749747534,NA,0.8230090910870109,NA,826.7495918952433
Q_m3d_D8gwebflt1m,NA,0.855597967303002,NA,8807.210798647393,NA,5329.633484363665,NA,0.8965133316493158,NA,784.8094193139655
Q_m3d_D8gwebf,NA,0.8526745408279292,NA,8875.603759099036,NA,5421.507403709581,NA,0.8990267470601222,NA,698.4047282466607
Q_m3d_Dinfgwebf,NA,0.848956098988993,NA,9460.669085391623,NA,5802.097962934466,NA,0.8495051212623393,NA,986.220157727873
Q_m3d_D8gwelidlt0m,NA,0.8416209077707852,NA,9284.610934372671,NA,5248.011166864406,NA,0.899131126376255,NA,-72.49254283990643
Q_m3d_D8gwef,NA,0.4374800354379246,NA,18909.38469208804,NA,9487.452702332377,NA,0.8332108531685519,NA,9293.309509800165
