EMBAY_NAME,active
BarnstableHarbor,1
BassRiver,0.9942260501371314
BournesPond,1
ButtermilkBay,0.8528217757615035
CentervilleRiver,1
GreatPond,1
GreenPond,1
HerringRiverHarwich,1
LewisBay,1
NamskaketCreek,1
ParkersRiver,1
PhinneysHarborEelPondBackRiver,1
PleasantBay,1
PlymouthDuxbury,0.554998672828373
PocassetHarbor,1
PopponessetBay,0.9474647887323943
SandwichHarbor,1
SaquatucketHarbor,1
ScortonHarbor,1
StageHarbor,1
SulfurSpringsBucksCreek,1
ThreeBays,0.7829549439485979
WaquoitBay,0.17018046964828645
Wareham,0.9977525680784587
WildHarbor,1
WychmereHarbor,1
