method,r.squared_TRUE,r.squared_FALSE,RMSE_TRUE,RMSE_FALSE,MAE_TRUE,MAE_FALSE
Q_m3d_D8gweblidbk5,0.936162582,0.93052701,1933.706609,7388.558972,1340.185628,4904.360911
Q_m3d_D8gweblidbk1,0.900143691,0.942089221,2587.085432,6845.470583,1766.941686,4078.035095
Q_m3d_D8gwebrlidbrk1,0.879361438,0.885483586,3473.27457,8784.343152,2321.407844,5001.20225
Q_m3d_D8gweblidbk1lid0,0.793798607,0.770862052,3586.557355,10775.13061,2602.513518,4935.434753
Q_m3d_D8gwebcr,0.783280579,0.835189586,3802.551289,9923.426192,2235.419094,5753.112746
Q_m3d_D8gweb,0.773839837,0.92973739,4076.296863,6932.404335,2608.556336,4065.033301
Q_m3d_D8gwebrlidbrk5,0.762011812,0.903962545,4073.917823,8301.506066,1966.366116,5429.224941
Q_m3d_D8gwebc,0.738238568,0.928371414,5054.572714,6407.81772,2604.375966,4169.357357
Q_m3d_D8gwebcrlidbcrk1,0.729389183,0.840008568,4187.413476,10056.30768,2502.733014,5554.325212
Q_m3d_D8gwebcrlidbcrk5,0.728713774,0.873496023,4229.439394,9584.663677,2076.223987,6154.02313
Q_m3d_D8gwelid1,0.726352595,0.923021625,5734.332359,6369.312261,3217.945297,4320.779655
Q_m3d_D8gwelidr1,0.7259911,0.896839662,5718.792423,7508.689808,3199.255826,4602.26554
Q_m3d_D8gwelidr0,0.711105866,0.931917079,5417.733819,6686.696989,2758.246891,3918.430745
Q_m3d_D8gwelid0,0.701982599,0.934310937,5511.850636,6531.757844,2863.834113,3890.223749
Q_m3d_D8gwebr,0.699020603,0.852714565,5128.182143,9560.250715,3139.548139,5423.519085
Q_m3d_D8gwebclidbck1,0.619899603,0.948794796,6790.865404,5927.937185,3241.748523,3991.461587
Q_m3d_D8gweblidbk1lid1,0.619705877,0.915749265,7604.320084,6797.941374,3784.326289,4472.000424
Q_m3d_D8gweblidbk5lid0,0.575949133,0.732897387,5125.902434,12032.12251,3129.063907,6020.061774
Q_m3d_D8gweblidbk5lid1,0.418351523,0.870547138,8616.25554,8935.701041,3939.793746,5751.464953
Q_m3d_D8lidbr,0.24342076,0.73925927,11477.02124,14579.00767,5966.288415,7882.300683
Q_m3d_D8lidb,0.237882182,0.759238049,11155.86726,14328.44562,5767.620994,7611.694342
Q_m3d_D8lidbc,0.235311891,0.783568005,11169.92029,14330.41781,5917.712157,7625.289538
Q_m3d_D8lidbcr,0.235311891,0.783568005,11169.92029,14330.41781,5917.712157,7625.289538
Q_m3d_D8gwelidlt1m,NA,0.926758797,NA,6168.548374,NA,4103.126787
Q_m3d_MFDgwebf,NA,0.857910876,NA,9679.82445,NA,5415.77375
Q_m3d_D8gwebflt1m,NA,0.855597967,NA,8807.210799,NA,5329.633484
Q_m3d_D8gwebf,NA,0.852674541,NA,8875.603759,NA,5421.507404
Q_m3d_Dinfgwebf,NA,0.848956099,NA,9460.669085,NA,5802.097963
Q_m3d_D8gwelidlt0m,NA,0.841620908,NA,9284.610934,NA,5248.011167
Q_m3d_D8gwef,NA,0.437480035,NA,18909.38469,NA,9487.452702
