source,site_id,Lat,Long,dates,system_type,Q_m3d
Neill et al. 2017,RckyBgNS,41.885338,-70.69784,2015-2016,Cranberry Bed,299.64681724845997
Neill et al. 2017,WhtSprng,41.83868,-70.695726,2015-2016,Cranberry Bed,130.50184804928134
Neill et al. 2017,SttBgSc3,41.766504,-70.667465000000007,2015-2016,Cranberry Bed,10.795071868583161
Kennedy et al. 2018,AtwoodBg,41.876324,-70.730203,2014-2015,Cranberry Bed,48.58151950718686
Kennedy et al. 2020,WIP-FF,41.818758,-70.614093,2017-2018,Cranberry Farm,427.8932238193018
"Kennedy, Unpublished",Frogfoot,41.799671,-70.713346,2012-2015,Cranberry Farm,6991.211498973306
"Kennedy, Unpublished",WIP-ADM,41.82086,-70.617584,2012-2015,Cranberry Farm,2408.268309377139
MEP,CB-8,41.6707683874419,-70.06206604576924,2014-2015,Stream Gauge,13004
MEP,CB-5,41.67452987756775,-70.06299114532278,2014-2015,Stream Gauge,7321
MEP,CB-1,41.67476707838374,-70.06927190388748,2014-2015,Stream Gauge,1062
MEP,CB-2,41.67423360467598,-70.06869708316442,2014-2015,Stream Gauge,168
USGS,JonesR,41.9909362,-70.7336491,2016-2023,Stream Gauge,92403.26176087411
USGS,MrstnMll,41.66710556,-70.42362778,2021-2023,Stream Gauge,11231.48073820812
USGS,SantuitR,41.6276095,-70.4505818,2020-2023,Stream Gauge,13802.036576121083
USGS,MashpeeR,41.62948889,-70.4838361,2021-2023,Stream Gauge,31196.7522375417
USGS,QshntRJP,41.6331643,-70.5047501,2022-2023,Stream Gauge,16969.087874971254
USGS,QshntRWq,41.59233175,-70.50780579,2016-2023,Stream Gauge,46608.059733553935
USGS,ChldsRvE,41.58831667,-70.5252833,2022-2023,Stream Gauge,8609.286301853903
MEP,AcshntRv,41.681858999999996,-70.918844000000007,2002-2003,Stream Gauge,85415
MEP,AcshntRv,41.681858999999996,-70.918844000000007,2003-2004,Stream Gauge,50972
MEP,AcshntRv,41.681858999999996,-70.918844000000007,2004-2005,Stream Gauge,85149
MEP,AcshntRv,41.681858999999996,-70.918844000000007,2005-2006,Stream Gauge,102622
MEP,AdmsvllB,41.553740999999995,-71.126612,2006-2007,Stream Gauge,46625
MEP,AgawmRvr,41.762449000000004,-70.676352,1999-2000,Stream Gauge,77817
MEP,AnglnBrk,41.550478999999996,-71.104556,2006-2007,Stream Gauge,20974
MEP,BrnysJyC,41.544199,-71.008317,2003-2004,Stream Gauge,4600
MEP,DstrctnB,41.569120000000005,-71.006334,2003-2004,Stream Gauge,11380
MEP,GilesCrk,41.541599999999995,-71.006734,2003-2004,Stream Gauge,4993
MEP,KirbyBrk,41.59651200000001,-71.07101,2006-2007,Stream Gauge,23149
MEP,NsktckR1,41.640446,-70.872888,2005-2006,Stream Gauge,1989
MEP,NsktckR2,41.640767,-70.870647,2005-2006,Stream Gauge,11532
MEP,NonqtBrk,41.63695800000001,-70.856715,2005-2006,Stream Gauge,1504
MEP,PskmnstR,41.585570000000004,-70.990224,2003-2004,Stream Gauge,109884
MEP,ShwsCvSt,41.632585000000006,-70.849411,2005-2006,Stream Gauge,2875
MEP,SnellCrk,41.584939999999996,-71.074817,2006-2007,Stream Gauge,6643
MEP,WnkncRvr,41.766467,-70.721733,1999-2000,Stream Gauge,71870
MEP,WstprtR1,41.62184,-71.059327,2005-2006,Stream Gauge,272703.126
MEP,WstprtR2,41.62184,-71.059327,2006-2007,Stream Gauge,217352.2767
MEP,AlderBrk,41.71488299999999,-70.384253,2006-2007,Stream Gauge,917
MEP,BackRivr,41.726801,-70.602171,2002-2003,Stream Gauge,1822
MEP,BacksBrk,41.578791,-70.563246,2002-2003,Stream Gauge,7211
MEP,BotCvCrk,41.711745,-70.379438,2006-2007,Stream Gauge,12850
MEP,BornsBrk,41.576468,-70.55128,2002-2003,Stream Gauge,3766
MEP,BridgCrk,41.70261000000001,-70.384159,2006-2007,Stream Gauge,5472
MEP,BumpsRvr,41.648377,-70.362306,2003-2005,Stream Gauge,5679
MEP,CedarLak,41.648848,-70.626459,2005-2006,Stream Gauge,2417
MEP,CedarPnd,41.79719000000001,-69.991681,2002-2003,Stream Gauge,1271
MEP,ChasBrok,41.652992000000005,-70.251581,2003-2004,Stream Gauge,3255
MEP,ChsGrdnC,41.73311900000001,-70.20151,2006-2007,Stream Gauge,1611
MEP,ChldsRvr,41.585572000000006,-70.52713,2006-2007,Stream Gauge,10372
MEP,CldSprnB,41.669714000000006,-70.061295,2004-2005,Stream Gauge,10328
MEP,CnmsstRv,41.57817800000001,-70.573375,2002-2003,Stream Gauge,26593
MEP,CuffsPnd,41.659698999999996,-70.615392,2005-2006,Stream Gauge,3302
MEP,ESqtcktS,41.671203,-70.057882,2004-2005,Stream Gauge,3929
MEP,EelRiver,41.943130000000004,-70.624295,2003-2004,Stream Gauge,68983
MEP,FlaxPond,41.646453,-70.627569,2005-2006,Stream Gauge,1626
MEP,ForstBrk,41.662197000000006,-70.208777,2003-2004,Stream Gauge,823
MEP,FreshBrk,41.890671,-69.988127,2004-2005,Stream Gauge,2344
MEP,FreshPnd,41.670598000000005,-70.154567,2003-2004,Stream Gauge,1107
MEP,HallsCrk,41.63879200000001,-70.30766,2003-2004,Stream Gauge,1185
MEP,HmblnBrk,41.70069,-70.213453,2005-2006,Stream Gauge,2993
MEP,HtchsCrk,41.876602,-69.993934,2004-2005,Stream Gauge,743
MEP,HrrngRvr,41.943476999999994,-70.057246,2003-2005,Stream Gauge,28323
MEP,HosptlBg,41.647996,-70.272014,2003-2004,Stream Gauge,1318
MEP,HurleyBg,41.781234,-70.011355,2002-2004,Stream Gauge,4050
MEP,JonesRvr,41.98991,-70.724075,2003-2004,Stream Gauge,102201
MEP,KscyGnst,41.76881300000001,-69.977752,2002-2003,Stream Gauge,981
MEP,LkElzbtS,41.637222,-70.335589,2003-2005,Stream Gauge,1547
MEP,LittlRvr,41.626419000000006,-70.428474,2002-2003,Stream Gauge,3483
MEP,LongCrek,41.749340000000004,-70.440367,2006-2007,Stream Gauge,6689
MEP,LngPndSt,41.657804999999996,-70.334281,2003-2005,Stream Gauge,6518
MEP,MrspnCrk,41.703134000000006,-70.288283,2006-2007,Stream Gauge,1384
MEP,MrstnsMR,41.656117,-70.416578,2002-2003,Stream Gauge,16091
MEP,MryChsMC,41.816838999999995,-69.967575,2003-2004,Stream Gauge,1871
MEP,MashpRvr,41.624683999999995,-70.480654,2002-2003,Stream Gauge,26223
MEP,MillPond,41.657379,-70.260958,2003-2004,Stream Gauge,15655
MEP,MorsPond,41.557309,-70.602027,2006-2007,Stream Gauge,786
MEP,Msqt/QvC,41.546347,-70.642002,2002-2003,Stream Gauge,97
MEP,PawWhPnd,41.756401,-69.970213,2002-2003,Stream Gauge,388
MEP,PlshsBrk,41.655168,-70.223601,2004-2005,Stream Gauge,3107
MEP,QshntRvr,41.590546,-70.508739,2002-2003,Stream Gauge,41529
MEP,RyderCov,41.706483,-69.984561,2001-2002,Stream Gauge,853
MEP,RyderCov,41.706196000000006,-69.984372,2000-2002,Stream Gauge,853
MEP,SanttRvr,41.62739500000001,-70.451724,2002-2003,Stream Gauge,13164
MEP,ScrtnCrk,41.727203,-70.398924,2006-2007,Stream Gauge,4392
MEP,ShawmLak,41.758167,-70.500181,2006-2007,Stream Gauge,21478
MEP,SknknttR,41.64551500000001,-70.371382,2003-2005,Stream Gauge,13925
MEP,Snw'sCrk,41.64270500000001,-70.279514,2003-2004,Stream Gauge,5298
MEP,SprnghlC,41.74843800000001,-70.472085,2006-2007,Stream Gauge,4356
MEP,Stwrt'sC,41.635463,-70.293032,2003-2004,Stream Gauge,13966
MEP,StllwtrP,41.70201300000001,-69.970673,2001-2002,Stream Gauge,1079
MEP,StllwtrP,41.70088,-69.984928,2000-2002,Stream Gauge,1079
MEP,Stream,41.560109000000004,-70.592263,2002-2003,Stream Gauge,2006
MEP,St(Lttl),41.79052500000001,-70.010195,2002-2003,Stream Gauge,203
MEP,Stream 1,41.68197,-70.122065,2005-2006,Stream Gauge,42111
MEP,Stream 2,41.680925,-70.098908,2004-2005,Stream Gauge,20533
MEP,Tar Kiln,41.73358,-69.991744,2004-2005,Stream Gauge,2763
MEP,TownBrok,41.954880999999986,-70.66321,2003-2004,Stream Gauge,52939
MEP,Un-nCaKR,41.668484,-70.086065,2004-2005,Stream Gauge,1905
MEP,Un-NmdCr,41.685337000000004,-70.130337,2005-2006,Stream Gauge,453
MEP,WeirCrek,41.705451000000004,-70.193727,2003-2004,Stream Gauge,16098
MEP,WhtsBrkD,41.705088,-70.223879,2006-2007,Stream Gauge,1462
MEP,WldHrbrR,41.63431200000001,-70.63265,2006-2007,Stream Gauge,1979
MEP,BlackBrk,41.326806999999995,-70.797453,2006-2007,Stream Gauge,1363
MEP,FishLddr,41.448448,-70.62234,2003-2004,Stream Gauge,873
MEP,FishLddr,41.429469,-70.599982,2003-2004,Stream Gauge,6464
MEP,FllngMBE,41.346272,-70.719522,2004-2005,Stream Gauge,470
MEP,FllngMBW,41.346272,-70.719522,2004-2005,Stream Gauge,4816
MEP,MillBrok,41.339199,-70.735089,2004-2005,Stream Gauge,5233
MEP,MillBrok,41.382723999999996,-70.67199,2004-2005,Stream Gauge,17363
MEP,PsPntBrk,41.345668999999994,-70.760293,2006-2007,Stream Gauge,1308
MEP,TisqmRvr,41.377733,-70.677676,2004-2005,Stream Gauge,12191
MEP,Un-nmdBr,41.352458999999996,-70.762214,2006-2007,Stream Gauge,534
