,Region_MEP,TN,Atten,NO3_GT_0p5,NOx,Qmeas,Cran_HLR,Cranberry_In_Terminus,LE5_Cran_Area,L_NO3_sub,LR_NO3_sub,LR_NO3_cran,Use_ResComMix,NaturalCover,LE5_NaturalCover
0,Buzzards Bay > Acushnet > Acushnet River,1.1343333333333334,28.666666666666668,True,0.6043333333333333,73845.33333333333,0.009237525122421084,True,7994060.352171366,44627.19644444444,0.000989384976107651,17893.308920665266,52.91188569486759,76.1874023924779,93.31253805142995
1,Buzzards Bay > Acushnet > Acushnet River,1.1343333333333334,28.666666666666668,True,0.6043333333333333,73845.33333333333,0.009237525122421084,True,7994060.352171366,44627.19644444444,0.000989384976107651,17893.308920665266,52.91188569486759,76.1874023924779,93.31253805142995
2,Buzzards Bay > Acushnet > Acushnet River,1.1343333333333334,28.666666666666668,True,0.6043333333333333,73845.33333333333,0.009237525122421084,True,7994060.352171366,44627.19644444444,0.000989384976107651,17893.308920665266,52.91188569486759,76.1874023924779,93.31253805142995
3,Buzzards Bay > Acushnet > Acushnet River,1.1343333333333334,28.666666666666668,True,0.6043333333333333,73845.33333333333,0.009237525122421084,True,7994060.352171366,44627.19644444444,0.000989384976107651,17893.308920665266,52.91188569486759,76.1874023924779,93.31253805142995
4,Buzzards Bay > Acushnet > Acushnet River,1.1343333333333334,28.666666666666668,True,0.6043333333333333,73845.33333333333,0.009237525122421084,True,7994060.352171366,44627.19644444444,0.000989384976107651,17893.308920665266,52.91188569486759,76.1874023924779,93.31253805142995
13,Buzzards Bay > Wareham > Agawam River,0.439,8.0,False,0.017,77817.0,0.001568583773619561,True,49609718.848764196,1322.8890000000001,2.4678377135354992e-05,132.19960733989723,52.59872269753306,87.31336669988299,83.19791296117215
14,Buzzards Bay > Wareham > Wankinco River,0.425,18.0,False,0.02,71870.0,0.0010048708087342167,True,71521631.81108911,1437.4,3.484257721263768e-05,61.862536935197475,16.812288492067154,78.09138349316832,66.2751886459665
21,Cape Cod > Allen > Cold Spring Brook,0.961,53.0,True,0.672,10328.0,0.0011889800686202662,True,8686436.612839919,6940.416,0.0014646576632166204,574.0720265221627,41.89608046409565,62.60429292244505,86.20582581355967
24,Cape Cod > Barnstable > Alder Brook,0.857,41.0,False,0.078,917.0,0.0004035971625016686,True,2272067.5098804957,71.526,0.00016341404345847593,1.4554643852056666,46.54951023103176,78.70774440691164,37.09879407023449
32,Cape Cod > Centerville > Bumps River,2.978,22.0,True,2.207,5679.0,0.4384451150196451,True,12952.590427984458,12533.553,0.00456709774909176,146317.16327113612,70.13292065357582,62.62456804514511,98.96439290491908
36,Cape Cod > Chatham > Ryder Cove,0.851,14.0,False,0.263,853.0,3.3903255656077897,True,251.5982561241375,224.339,0.00017717376415458204,316407.6582854265,27.716877429145388,82.84507326423316,90.60793040257543
37,Cape Cod > Chatham > Stillwater Pond,0.732,52.0,False,0.127,1079.0,4.288582983928332,True,251.59825612413326,137.03300000000002,0.00027502792055203424,89768.40959136236,27.29919623544389,82.82735474178189,99.27121792923153
41,Cape Cod > GBB > Backus Brook,0.528,67.0,False,0.062,7211.0,0.0005992012716273839,True,12034353.63282105,447.082,4.848139408750249e-05,41.74198559814127,15.13197769974192,28.34628402394925,17.054489552000852
42,Cape Cod > GBB > Bournes Brook,0.874,54.0,True,0.543,3766.0,0.00044925346695422246,True,8382795.631010108,2044.938,0.00023612294099680263,258.44478069562354,14.49744326468844,24.810870424621434,8.52020873719298
43,Cape Cod > GBB > Coonamesset River,0.851,51.0,True,0.565,26593.0,0.0021831462131839873,True,12181043.962793363,15025.044999999998,0.0008003299398418537,1921.9880887754618,23.520755624166625,73.45574325262363,91.86697428449372
44,Cape Cod > Herring River > Stream 1,0.651,56.0,False,0.12,42111.0,0.04518452258230698,True,931978.4207809581,5053.32,0.0005932473825077767,6971.9337671687945,28.92562196659487,67.37921147332963,53.91384362449909
45,Cape Cod > Herring River > Stream 2,0.606,54.0,False,0.148,20533.0,0.02860077300077766,True,717917.6590591347,3038.884,0.00032358430623973086,3758.5401171242693,30.53510602245848,76.35250195946244,90.4041711257979
47,Cape Cod > Lewis Bay > Chase Brook,1.035,36.0,False,0.45,3255.0,0.0006957943872820271,True,4678106.146723841,1464.75,0.0009641823901843458,80.03708797484833,31.489341921916147,74.10685736808713,79.67832895631845
61,Cape Cod > Parkers River > Plashes Brook,0.966,43.0,False,0.412,3107.0,0.017013236146958613,True,182622.5165607559,1280.0839999999998,0.0006205920843897508,2293.678915032533,21.93860623676542,72.82155584053783,99.11663720012363
62,Cape Cod > Phinneys > Back River,0.749,51.0,False,0.385,1822.0,12.699493133031737,True,143.47029294113534,701.47,0.000605731329298076,300725.69791706494,49.87042897424606,53.20556045287709,81.02582755396715
63,Cape Cod > Pleasant Bay > Kescayo Gansett,0.796,24.0,False,0.19,981.0,0.009940593040499157,True,98686.26509538108,186.39000000000001,0.00023636795452648915,389.2933242244327,33.54275709432743,85.60261188991207,98.96512423840744
65,Cape Cod > Pleasant Bay > Ryder Cove,0.851,7.0,False,0.263,853.0,3.3903255656077897,True,251.5982561241375,224.339,0.00017717376415458204,316407.6582854265,27.716877429145388,82.84507326423316,90.60793040257543
66,Cape Cod > Pleasant Bay > Stillwater Pond,0.732,52.0,False,0.127,1079.0,4.288582983928332,True,251.59825612413326,137.03300000000002,0.00027502792055203424,89768.40959136236,27.29919623544389,82.82735474178189,99.27121792923153
68,Cape Cod > Plymouth Duxbury > Eel River,0.642,60.0,False,0.144,68983.0,0.006724155647251808,True,10258983.226867102,9933.552,0.000270457699396389,4235.964795244027,30.130034631078967,54.487315904582864,65.71834324489775
69,Cape Cod > Plymouth Duxbury > Jones River,1.041,22.0,True,0.517,102201.0,0.0031775702159018834,True,32163254.64297962,52837.917,0.0009600256679694841,10390.313992354893,47.24136483621093,78.09983347988765,94.00582956354934
70,Cape Cod > Plymouth Duxbury > Town Brook,1.354,36.0,True,0.729,52939.0,0.8170260416397251,True,64794.752311388285,38592.530999999995,0.001669099557003309,1318525.4071668056,48.26178140017167,60.975706281607245,90.99072678378694
71,Cape Cod > Popponesset > Mashpee River,0.593,71.0,False,0.318,26223.0,0.017873132436343312,True,1467174.2680470508,8338.914,0.00032592302302902567,25540.81814769451,31.35669453008311,78.26850270556461,93.88427511201284
72,Cape Cod > Popponesset > Santuit River,1.184,51.0,True,0.702,13164.0,0.005151610335530536,True,2555317.491543994,9241.127999999999,0.0007701850675206221,3929.6147363525697,49.26704145141175,74.00749219444585,96.70645479918764
74,Cape Cod > Sandwich > Springhill Creek,0.461,37.0,False,0.108,4356.0,0.0014984260619287798,True,2907050.344808432,470.448,0.00016373538816427834,28.393622528657804,15.154807439050872,60.42468014812222,46.70704779532809
75,Cape Cod > Scorton > Long Creek,0.68,51.0,False,0.115,6689.0,0.0006489442630616144,True,10307510.799837226,769.235,8.691985246858043e-05,36.40409497528199,36.48413831837812,77.28988007622634,88.18697108074176
78,Cape Cod > Three Bays > Little River,0.856,51.0,False,0.481,3483.0,0.0018002154695402944,True,1934768.3979681742,1675.3229999999999,0.0004494205092372389,309.0868746764383,45.98328832973883,76.0663149946406,97.85718656409588
79,Cape Cod > Three Bays > Marstons Mill River,1.137,60.0,True,0.799,16091.0,49.85461559458782,True,322.75848099702984,12856.709,0.009970207256897186,3020114.1610381855,64.77389705618758,69.68342106909327,94.82119060969072
80,Cape Cod > Waquoit Bay > Childs River,0.258,29.0,False,0.2069,10372.0,0.0029976229890779707,True,3460074.8785924846,2145.9668,0.00012992646878143122,1574.978241683436,13.709583295142716,22.194419032383504,16.73900085624315
